name,gender_guess,label
"Abbot, Francis Ellingwood",male,NA
"Abbott, Edward",male,NA
"Abbott, Lyman",male,NA
"Adam, William",male,NA
"Adams, Charles P.",male,NA
"Adams, F. G.",male,NA
"Adams, Henry",male,NA
"Adams, John Quincy",male,NA
Addie,female,NA
"Aguilera, Francisco V.",male,NA
"Albee, O. W.",male,NA
"Albright, Arthur",male,NA
"Albright, Rachel A.",female,NA
"Alcott, Abba May",female,NA
"Alden, Seth",male,NA
"Aldrich, J. M.",male,NA
"Allen, Annie",female,NA
"Allen, Charles",male,NA
"Allen, D. M.",male,NA
"Allen, Ephraim W.",male,NA
"Allen, Jacob H.",male,NA
"Allen, Macon B.",male,NA
"Allen, Nathaniel T.",male,NA
"Allen, Otis",male,NA
"Allen, Richard",male,NA
"Allen, Stafford",male,NA
"Allen, William G.",male,NA
"Alset, George M.",male,NA
"Ames, Charles Gordon",male,NA
"Ammidon, Angelina.",female,NA
"Ammidon, Sylvia Ann.",female,NA
"Amos, J.",male,NA
"Andrew, John A.",male,NA
"Andrews, John.",male,NA
"Andrews, Stephen Pearl",male,NA
"Anthony, John Gould",male,NA
"Anthony, Susan B.",female,NA
"Antoine, Caesar Carpentier",male,NA
"Appleton, Daniel Fuller",male,NA
Appomattox,NA,NA
"Argyll, Elizabeth Georgiana Campbell",female,NA
"Armistead, Wilson",male,NA
"Armstrong, Frances.",female,NA
"Armstrong, George",male,NA
"Arnold, Elizabeth Rotch",female,NA
"Arnold, Isaac Newton",male,NA
"Arnold, Sarah Rotch.",female,NA
"Arnoth, G. U.",male,NA
"Arthington, Robert.",male,NA
"Ashby, Jane.",female,NA
"Ashley, James Mitchell",male,NA
"Ashley, Thomas.",male,NA
"Ashley, William.",male,NA
"Ashmead, L. P.",male,NA
"Ashurst, W. H.",male,NA
"Ashurst, William Henry.",male,NA
"Assing, Ottilie.",female,NA
"Atkinson, Edward",male,NA
"Atkinson, William P.",male,NA
"Babcock, Amory L.",male,NA
"Babcock, William Gustavus",male,NA
"Bacon, George Allen",male,NA
"Bacon, Steuben T.",NA,NA
"Badger, Henry C.",male,NA
"Bailey, John",male,NA
"Bailey, William Shreve",male,NA
"Baker, Edward L.",male,NA
"Ball, Lucy M.",female,NA
"Ballou, Adin",male,NA
"Bancroft, Aaron",male,NA
"Banks, Frederick Charles.",male,NA
"Banks, Nathaniel Prentiss",male,NA
"Barbour, John N.",male,NA
"Barker, Joseph",male,NA
"Barker, Thomas H.",male,NA
"Barlow, Hablo.",NA,NA
"Barnaby, James.",male,NA
"Barnes, Albert",male,NA
"Barnet, James.",male,NA
"Barney, Nathaniel.",male,NA
"Barrett, Samuel.",male,NA
"Bartlett, E. H.",female,NA
"Bartol, C. A.",male,NA
"Battles, A.",male,NA
"Beard, J. R.",male,NA
"Bearse, Austin.",male,NA
"Beattie, Robert.",male,NA
"Beaufoy, Henry",male,NA
"Becker, Lydia",female,NA
"Beecher, Henry Ward",male,NA
"Belcher, Edwin",male,NA
"Benedict, Seth Williston",male,NA
"Benezet, Anthony",male,NA
"Benson, George William",male,NA
"Benson, Henry Egbert",male,NA
"Bent, N. T.",male,NA
"Berlioux, Etienne Félix",male,NA
"Berry, M. E.",female,NA
"Bevan, Hannah M.",female,NA
"Biggs, E. Ashurst.",female,NA
"Biggs, Matilda Ashurst.",female,NA
"Bird, F. W.",male,NA
"Bird, Jerusha L.",female,NA
"Bird, S.",female,NA
"Bird, S. V.",female,NA
"Birney, James Gillespie",male,NA
"Birney, John.",male,NA
"Bishop, Francis",male,NA
"Blackwell, Antoinette Louisa Brown",female,NA
"Blackwell, Henry Browne",male,NA
"Blair, Montgomery",male,NA
"Blanchard, George A.",male,NA
"Bleby, Henry",male,NA
"Blinn, Henry Clay",male,NA
"Blumer, John George.",male,NA
"Boker, George H.",male,NA
"Bomen, John W.",male,NA
"Bond, Hugh L.",male,NA
"Borchardt, Louis",male,NA
"Borchardt, M.",female,NA
"Borden, Nathaniel B.",male,NA
"Bourne, Theodore",male,NA
"Bowden, William J.",male,NA
"Bowditch, Henry I.",male,NA
"Bowditch, Jonathan Ingersoll",male,NA
"Bowditch, William I.",male,NA
"Bowe, Obadiah Allen",male,NA
"Bowles, Samuel",male,NA
"Bowring, John",male,NA
"Boyce, Eliza.",female,NA
"Boyle, James.",male,NA
"Bradburn, George",male,NA
"Bradford, Charlotte.",female,NA
"Bradford, Claudius.",male,NA
"Brady, Mary.",female,NA
"Brainard, Charles H.",male,NA
"Bramhall, Ann Rebecca.",female,NA
"Bramhall, Cornelius.",male,NA
"Bratton, E. E.",female,NA
"Brigham, Charles",male,NA
"Bright, Jacob",male,NA
"Brisbane, William Henry",male,NA
"Brooke, Abraham.",male,NA
"Brooks, George M.",male,NA
"Brooks, Mary Merrick",female,NA
"Brown, A. P.",male,NA
"Brown, Abel",male,NA
"Brown, B. Gratz",male,NA
"Brown, Henry Box",male,NA
"Brown, Henry.",male,NA
"Brown, J. W.",male,NA
"Brown, James C.",male,NA
"Brown, James.",male,NA
"Brown, John",male,NA
"Brown, Olympia",female,NA
"Brown, Thomas H.",male,NA
"Brown, William C.",male,NA
"Brown, William Wells",male,NA
"Browne, Lucinda B.",female,NA
"Browne, Lucy A.",female,NA
"Browne, Lucy.",female,NA
"Browne, Martha Griffith",female,NA
"Browne, N.",male,NA
"Bruck, William A.",male,NA
"Buck, A. R.",male,NA
"Buckley, John C.",male,NA
"Buddington, Thomas Cushman",male,NA
"Buell, Charles E.",male,NA
"Buffum, James Needham",male,NA
"Bullock, Alexander H.",male,NA
"Bunsen, Christian Karl Josias",male,NA
"Burleigh, Celia Burr.",female,NA
"Burleigh, Charles C.",male,NA
"Burleigh, Cyrus Moses",male,NA
"Burleigh, Edward.",male,NA
"Burleigh, Gertrude K.",female,NA
"Burleigh, Lucian.",male,NA
"Burleigh, Margaret Jones.",female,NA
"Burns, A. M.",male,NA
"Burns, Anthony",male,NA
"Burr, William Henry",male,NA
"Burritt, Elihu",male,NA
"Burroughs, James.",male,NA
"Burrows, Thomas.",male,NA
"Burton, Ella.",female,NA
"Bush, Andrew M.",male,NA
"Bush, George",male,NA
"Buss, A. E.",male,NA
"Butler, Josephine Elizabeth Grey",female,NA
"Butler, W. P.",male,NA
"Butman, Sarah L.",female,NA
"Buxton, Thomas Fowell",male,NA
"Buzacott, Aaron.",male,NA
"Byrne, Susan.",female,NA
"Cabot, Frederick Samuel",male,NA
"Cabot, Susan C.",female,NA
"Cadwallader, Charles.",male,NA
"Campbell, Alfred Gibbs.",male,NA
"Campbell, Benjamin M.",male,NA
"Capen, Nahum",male,NA
"Capron, Eliab Wilkinson.",male,NA
"Cardozo, T. W.",male,NA
"Carleton, Edmund",male,NA
"Carlile, James.",male,NA
"Carlton, Harriette M.",female,NA
Carolinian.,NA,NA
"Carpenter, Mary",female,NA
"Carpenter, Philip P.",male,NA
"Carpenter, Russell Lant",male,NA
"Carter, H. W.",male,NA
"Carter, Robert",male,NA
"Case, Truman.",male,NA
"Cash, Mary Ann.",female,NA
"Cavner, George W.",male,NA
"Cawdrey, H.",male,NA
"Cecearini, G.",male,NA
"Cérisier, L.",male,NA
"Chace, Elizabeth Buffum",female,NA
"Chace, Harvey.",male,NA
"Chace, Lucy.",female,NA
"Chace, William M.",male,NA
"Chamberlain, Alice Ingersoll.",female,NA
"Chamberlain, Daniel Henry",male,NA
"Chamerovzow, Louis Alexis.",male,NA
"Chandler, John B.",male,NA
"Chandler, Thomas",male,NA
"Chandler, William E.",male,NA
"Channing, W. H.",male,NA
"Channing, William Ellery",male,NA
"Channing, William F.",male,NA
"Chapin, Henry",male,NA
"Chapman, Ann Greene",female,NA
"Chapman, Edwin.",male,NA
"Chapman, Elizabeth B.",female,NA
"Chapman, Henry Grafton",male,NA
"Chapman, Maria Weston",female,NA
"Chapman, Mary Gray",female,NA
"Chapman, William R.",male,NA
"Chase, B. A.",male,NA
"Chase, Benjamin",male,NA
"Chase, M. E.",female,NA
"Cheever, George Barrell",male,NA
"Cheever, George F.",male,NA
"Cheever, Henry T.",male,NA
"Cheney, Ednah Dow Littlehale",female,NA
"Cheney, Ira.",male,NA
"Chesson, F. W.",male,NA
"Child, David Lee",male,NA
"Child, Lydia Maria",female,NA
Childs,male,NA
"Churchill, Elizabeth Kitredge",female,NA
Cicero of the West.,male,NA
Citizen.,male,NA
"Claflin, Jehiel.",male,NA
"Clapp, William Warland",male,NA
"Clark, David H.",male,NA
"Clark, Frederick.",male,NA
"Clark, George W.",male,NA
"Clark, Helen P. Bright.",female,NA
"Clark, James.",male,NA
"Clarke, Albert",male,NA
"Clarke, Edward H.",male,NA
"Clarke, Enos.",male,NA
"Clarke, James Freeman",male,NA
"Clarke, James L.",male,NA
"Clarke, Mary G.",female,NA
"Clarke, William Travis",male,NA
"Clarkson, Thomas",male,NA
"Cleveland, Charles D.",male,NA
"Coates, Edwin H.",male,NA
"Coates, William.",male,NA
"Cobb, Moses.",male,NA
"Cobb, Samuel C.",male,NA
"Cobb, William N.",male,NA
"Cochin, Augustin",male,NA
"Cochran, Euphemia.",female,NA
"Coffin, Joshua",male,NA
"Cogan, Sarah.",female,NA
"Colburn, Lizzie S.",female,NA
"Colesworthy, D. C.",male,NA
"Colfax, Richard H.",male,NA
"Collings, Edward J.",male,NA
"Collingswood, C. S.",male,NA
"Collins, Eunice Messenger.",female,NA
"Collins, John A.",male,NA
"Colman, Mary H.",female,NA
"Colthurst, John Bowen.",male,NA
"Conway, M. F.",female,NA
"Conway, Moncure Daniel",male,NA
"Cookman, George G.",male,NA
"Cooley, Aaron.",male,NA
"Coombs, Edwin.",male,NA
"Cooper, Joseph",male,NA
"Coulter, J. H.",male,NA
"Cowen, Joseph",male,NA
"Cowing, Lucretia Ann",female,NA
"Cowings, Benjamin.",male,NA
"Cox, Hannah Pierce",female,NA
"Cox, Lydia Elizabeth",female,NA
"Cox, Samuel H.",male,NA
"Craft, William",male,NA
"Craft, William.",male,NA
"Crandal, William L.",male,NA
"Crocker, Lucretia",female,NA
"Cropper, Anne.",female,NA
"Cropper, James",male,NA
"Crosfield, Eliza W.",female,NA
"Crosfield, William.",male,NA
"Crowl, Lyman.",male,NA
"Crummell, Alexander",male,NA
"Cummings, Amos.",male,NA
"Cummins, Jos.",male,NA
"Curtis, George William",male,NA
"Curtis, Marian A.",female,NA
"Curtis, Thomas.",male,NA
