from,to,weight
"U. S. District Court, Western District of Pennsylvania",U. S. Circuit Courts for the Third Circuit,2
"U. S. District Court, Western District of Pennsylvania",U. S. Court of Appeals for the Third Circuit,2
"U. S. District Court, Eastern District of Missouri",U. S. Circuit Courts for the Eighth Circuit,2
"U. S. District Court, Eastern District of Missouri",U. S. Court of Appeals for the Eighth Circuit,2
"U. S. District Court, District of Mississippi","U. S. District Court, Northern District of Mississippi",1
"U. S. District Court, District of Mississippi","U. S. District Court, Southern District of Mississippi",1
"U. S. District Court, Southern District of New York",Supreme Court of the United States,1
"U. S. District Court, Southern District of New York",U. S. Circuit Courts for the Second Circuit,1
"U. S. District Court, Southern District of New York",U. S. Court of Appeals for the Second Circuit,2
"U. S. District Court, Southern District of New York","U. S. District Court, District of New York",1
U. S. Court of Appeals for the Seventh Circuit,U. S. Circuit Courts for the Seventh Circuit,9
U. S. Court of Appeals for the Seventh Circuit,"U. S. District Court, District of Indiana",2
U. S. Court of Appeals for the Seventh Circuit,"U. S. District Court, Northern District of Illinois",2
U. S. Court of Appeals for the Seventh Circuit,"U. S. District Court, Eastern District of Wisconsin",2
U. S. Court of Appeals for the Seventh Circuit,Commerce Court,1
U. S. Court of Appeals for the District of Columbia Circuit,U. S. District Court for the District of Columbia [Supreme Court of the District of Columbia],1
"U. S. District Court, District of Indiana",U. S. Circuit Courts for the Seventh Circuit,2
U. S. Court of Appeals for the First Circuit,"U. S. District Court, District of Rhode Island",1
U. S. Court of Appeals for the First Circuit,U. S. Circuit Courts for the First Circuit,4
U. S. Court of Appeals for the First Circuit,"U. S. District Court, District of Massachusetts",2
U. S. District Court for the District of Columbia [Supreme Court of the District of Columbia],Circuit Court of the District of Columbia,1
U. S. District Court for the District of Columbia [Supreme Court of the District of Columbia],U. S. Circuit Courts for the Fourth Circuit,1
U. S. District Court for the District of Columbia [Supreme Court of the District of Columbia],U. S. Court of Appeals for the Fourth Circuit,1
"U. S. District Court, Eastern District of Michigan",Supreme Court of the United States,1
"U. S. District Court, Eastern District of Michigan","U. S. District Court, District of Michigan",1
"U. S. District Court, Middle District of Pennsylvania",U. S. Circuit Courts for the Third Circuit,1
"U. S. District Court, Middle District of Pennsylvania",U. S. Court of Appeals for the Third Circuit,1
"U. S. District Court, Middle District of Pennsylvania",Commerce Court,1
Court of Claims,"U. S. District Court, Eastern District of Illinois",1
U. S. Circuit Courts for the Seventh Circuit,"U. S. District Court, Northern District of Illinois",3
U. S. Circuit Courts for the Seventh Circuit,"U. S. District Court, District of Illinois",1
