from,to,sections_borrowed
NY1891,NY1883,2602
NY1853,NY1850,1659
WI1898,WI1878,1574
NY1879,NY1876,1464
TN1872,TN1858,1444
CA1880,CA1872,1370
LA1855,LA1844,1094
OR1892,OR1887,1086
OR1887,OR1862,1062
LA1882,LA1875,1057
OH1896,OH1889,1054
NE1855,IA1851,1033
LA1875,LA1855,968
NY1883,NY1879,913
TN1884,TN1858,912
IA1888,IA1878,899
OH1889,OH1879,870
WA1893,WA1881,842
NE1901,NE1891,840
MA1858,MA1836,828
TN1884,TN1872,796
IA1897,IA1888,783
IN1878,IN1852,773
AL1867,AL1852,752
AL1887,AL1876,748
KS1879,KS1868,737
NE1857,NE1855,732
KY1867,KY1854,724
GA1882,GA1860,719
WI1849,NY1829,702
KY1902,KY1888,695
KS1889,KS1879,681
ID1887,ID1881,672
KY1854,KY1851,667
WI1858,WI1849,646
IN1894,IN1881,625
CA1858,CA1851,616
WV1868,VA1860,602
OK1893,KS1889,594
AL1876,AL1867,584
MN1866,MN1859,583
NH1891,NH1867,568
MT1895,MT1881,561
NV1861,CA1858,561
NY1883,NY1876,559
WI1878,WI1858,559
NE1881,NE1866,558
NE1891,NE1881,556
CA1868,CA1858,543
NE1866,NE1859,539
WA1881,WA1873,538
IA1878,IA1859,531
MN1851,NY1850,529
GA1896,GA1882,526
NE1859,OH1853,520
KS1859,OH1853,500
OH1860,OH1853,500
MN1891,MN1866,489
ME1871,ME1857,465
AR1868,KY1867,459
NV1885,NV1869,457
OK1891,IN1881,455
KS1868,KS1859,454
AZ1865,CA1858,447
MN1859,MN1851,441
AZ1877,AZ1865,415
IN1881,IN1878,412
DE1893,DE1874,411
WA1873,WA1855,411
ID1901,ID1887,409
KY1888,KY1867,403
WY1874,WY1870,403
ID1901,ID1881,401
DE1874,DE1852,398
OH1879,OH1853,398
IA1878,IA1851,395
ID1881,CA1872,395
NH1867,NH1842,392
RI1872,RI1857,391
MT1881,CA1872,386
NV1869,NV1861,378
NC1878,NC1868,375
NY1873,NY1864,357
WY1886,OH1879,353
RI1892,RI1872,352
NY1849,NY1848,348
AR1894,AR1884,347
MS1871,MS1857,346
MT1895,CA1872,344
WY1887,OH1879,342
GA1896,GA1860,341
ID1864,CA1858,338
NY1850,NY1849,331
VA1888,VA1860,329
AR1884,AR1874,325
CA1851,NY1850,320
SD1887,ND1877,320
ID1864,NV1861,314
ND1862,NE1859,293
AK1900,OR1887,292
IN1881,IN1852,288
MN1851,WI1849,286
OH1879,OH1860,285
AR1874,AR1868,280
NE1891,NE1866,280
WY1887,WY1886,280
NY1851,NY1849,271
AL1876,AL1852,269
MO1879,MO1856,268
IA1859,IA1851,265
CA1872,CA1868,258
ID1881,ID1875,256
NM1897,NM1885,254
MT1865,CA1858,252
ID1887,CA1880,247
MT1881,MT1865,241
NY1864,NY1851,240
AZ1901,AZ1887,239
TX1889,AZ1887,238
OR1862,OR1854,236
SC1880,SC1870,232
SC1893,SC1880,228
UT1870,NV1869,226
AZ1887,CA1872,225
WI1858,WI1856,223
DC1857,IN1852,219
NC1892,NC1878,218
ND1868,NY1864,217
ID1875,CA1872,215
NY1851,NY1850,210
CO1884,CO1877,209
KS1889,KS1868,207
WI1878,WI1849,206
WY1870,NE1866,206
