from,to,sections_borrowed
AK,OR,709
AR,KY,774
AR,MO,107
AZ,CA,889
AZ,MT,134
CA,NY,840
CO,CA,179
CO,IL,159
DC,IN,229
FL,NY,189
IA,KY,180
ID,CA,1971
ID,NV,384
IN,NY,168
KS,OH,698
MN,NY,921
MN,WI,488
MO,NY,157
MT,CA,1565
MT,ID,229
NC,NY,245
ND,CA,187
ND,NY,123
NE,IA,1048
NE,OH,793
NM,MO,102
NV,CA,828
OH,KY,203
OH,NY,135
OK,IN,695
OK,KS,771
OR,CA,240
OR,NY,569
SC,NY,232
SD,CA,445
SD,ND,349
TX,AZ,241
TX,KY,137
UT,CA,789
UT,NV,251
VA,WV,105
WA,CA,325
WA,OR,432
WI,MA,185
WI,NY,1180
WV,VA,635
WY,NE,290
WY,OH,751
